hip,ra,dec,mag
396,1.22460634,-31.99660262,7.83
397,1.22530082,52.2489413,8.72
398,1.2290269,58.53217392,6.61
399,1.23302998,26.64879958,6.25
400,1.23366004,23.26964739,7.82
401,1.23422583,56.0569593,8.66
402,1.23494365,64.78140759,8.15
403,1.23720433,-18.17850304,8.97
405,1.23950992,51.18064908,8.15
404,1.23961728,45.67395209,7.47
406,1.24392487,26.72525618,8.63
407,1.24427458,-70.21220744,8.13
408,1.24502692,57.46874679,8.23
409,1.24608894,-70.49241628,8.41
410,1.25472644,27.67479979,6.47
411,1.25663332,33.36001239,9.83
412,1.25755802,66.5167896,8.64
413,1.26034142,-36.01527326,7.73
414,1.26224739,-59.82810463,8.64
415,1.26379805,9.28002796,8.94
416,1.26440114,1.03782858,8.84
417,1.26581912,-0.50290553,6.32
418,1.27555231,61.31396468,5.8
419,1.27871117,-42.56781669,8.97
420,1.28166779,-52.15142338,7.53
421,,,8.83
422,1.28675856,67.84002075,7.41
423,1.28858787,30.32911509,7.8
425,1.29047896,-62.84527102,8.14
424,1.29075302,45.22907883,6.71
427,1.29143885,-43.85083352,8.73
426,1.29174694,30.33130736,9.37
429,1.29232665,2.39731072,8.69
428,1.29233645,45.78693438,9.95
430,1.29294285,-32.46851165,7.1
431,1.30198518,36.30368114,8.09
432,1.30417878,35.57110311,6.88
433,1.3119092,3.00739806,9.48
434,1.31348863,-27.27160831,9.04
435,1.31357538,-49.14221463,9.3
436,1.32445343,-67.8312267,8.49
437,1.32451324,48.47719511,8.3
438,1.32686621,-1.79412136,7.95
440,1.33276937,68.8844091,7.08
441,1.33296709,-38.85723115,6.93
442,1.33346262,-21.31530277,8.38
443,1.33394073,-5.70783255,4.61
703,2.19229374,-86.1885047,11.01
439,1.33455564,-37.3516811,8.56
444,1.33660254,-59.81448691,8.78
445,1.34012165,-56.95562054,7.42
447,1.3419003,8.7879537,8.26
446,1.3422976,-79.25391278,7.71
448,1.34271288,3.60610712,6.91
449,1.34473977,-33.49941419,9.16
450,1.34994786,28.54375172,8.99
451,1.35116229,16.32907717,8.63
452,1.35565957,21.56940242,9.9
453,1.35611944,-3.85159559,7.59
454,1.36004465,-14.42209198,7.39
455,1.36474708,76.29156292,11.99
456,1.36543236,-37.30254152,7.78
457,1.36678819,-42.88738421,7.47
458,1.36762563,-7.66532823,6.97
459,1.36813317,-61.22566452,8.82
460,1.36976446,22.22467477,9.13
461,1.37106856,34.10565584,7.86
462,1.37961808,-9.61729691,7.13
463,1.38325838,-35.12972759,9.45
464,1.38388036,-31.96763926,12.04
465,1.39092668,76.28582649,8.78
466,1.395476,53.17169568,7.23
467,1.39643718,-47.5693186,9.73
468,1.39896188,-61.30989474,7.36
1902,,,8.88
469,1.40103106,-51.26045604,7.36
470,1.40397116,43.40143611,8.47
471,1.41191024,-58.28951949,9.37
472,1.41549758,55.7099023,6.99
473,1.41782275,45.81245496,8.2
474,1.42019898,44.46868671,8.36
475,1.42333268,58.31365552,8.22
476,1.42473238,13.39628227,5.55
477,1.42893454,-29.9606343,9.91
478,1.42927167,-22.50977022,9.67
480,1.43016919,-15.36550173,8.6
479,1.43020191,25.61517178,10.07
481,1.43360334,-36.77845599,10.15
482,1.43504635,17.84032678,7.75
483,1.4390417,81.07146901,9.21
484,1.44169115,-19.66981225,9.66
485,1.44777978,47.08729369,8.47
486,1.45705278,-52.82010001,9.37
487,1.46242223,78.73840785,9.44
488,1.46256763,-68.55128874,9.99
489,1.46611168,2.76462706,10.38
490,1.46861724,-41.7528821,7.51
